"Gender","Age","SC","FD","IWS","IE","OS","EOB","OBS","BH","C","OB"
"Female",62,5,5,2,5,2,5,5,5,5,3
"Female",38,5,0,2,0,2,2,4,5,4,2
"Male",66,3,3,2,3,2,2,4,4,4,2
"Female",57,4,4,5,5,4,2,2,2,2,3
"Male",12,2,2,4,2,4,4,3,5,5,4
"Male",26,1,1,3,1,2,3,3,5,4,3
"Male",23,2,2,3,2,3,3,2,2,5,3
"Female",22,5,5,3,5,5,5,5,5,5,3
"Female",33,5,5,2,5,2,2,4,4,4,2
"Male",22,3,3,3,3,3,3,3,5,5,3
"Male",27,5,5,3,5,3,3,4,1,2,3
"Female",50,4,3,4,2,5,4,4,4,4,1
"Male",50,2,2,4,2,4,4,3,5,4,4
"Female",64,4,4,3,4,5,3,3,3,3,5
"Male",55,4,4,4,4,4,4,3,4,5,4
"Female",59,3,3,2,5,5,5,5,5,5,5
"Male",65,3,3,2,3,2,2,4,4,5,2
"Female",56,4,4,2,5,4,5,5,5,5,3
"Female",39,2,2,5,1,3,4,4,4,4,4
"Male",65,4,4,5,4,5,5,4,4,4,5
"Female",51,5,1,5,5,5,5,3,5,1,5
"Female",8,1,1,3,4,5,4,4,4,4,5
"Female",31,1,5,5,5,5,5,4,5,4,5
"Female",30,3,3,5,5,5,5,5,5,5,4
"Male",45,1,1,4,1,4,4,1,2,1,4
"Male",42,1,1,3,1,3,3,1,4,4,3
"Female",39,5,5,3,4,5,5,5,5,5,4
"Male",7,3,3,1,3,2,1,4,5,4,1
"Female",19,4,4,3,4,5,2,2,2,2,3
"Male",38,3,3,1,3,4,1,5,5,4,1
"Male",18,2,2,2,1,1,5,2,5,4,1
"Male",19,2,5,3,5,3,3,4,3,4,3
"Male",50,0,0,1,0,1,1,4,4,5,1
"Male",32,4,4,4,4,4,4,3,5,5,4
"Male",56,1,1,5,1,3,5,3,5,5,5
"Female",70,4,4,1,4,3,4,4,3,4,4
"Female",67,4,4,3,3,3,1,1,1,1,4
"Male",35,1,0,4,0,1,4,3,5,3,4
"Male",59,2,2,4,2,1,4,2,4,3,4
"Male",39,1,1,4,1,4,4,2,4,3,4
"Female",54,2,2,4,4,5,4,4,4,4,5
"Male",22,3,3,3,3,2,3,4,4,3,3
"Female",19,5,5,3,4,4,1,1,1,1,5
"Male",31,4,4,2,4,2,2,4,4,4,2
"Female",52,0,0,4,0,4,4,3,5,2,4
